produto,2013_jan,2013_fev,2013_mar,2013_abr,2013_mai,2013_jun,2013_jul,2013_ago,2013_set,2013_out,2013_nov,2013_dez,2014_jan,2014_fev,2014_mar,2014_abr,2014_mai,2014_jun,2014_jul,2014_ago,2014_set,2014_out,2014_nov,2014_dez,2015_jan,2015_fev,2015_mar,2015_abr,2015_mai,2015_jun,2015_jul,2015_ago,2015_set,2015_out,2015_nov,2015_dez,2016_jan,2016_fev,2016_mar,2016_abr,2016_mai,2016_jun,2016_jul,2016_ago,2016_set,2016_out,2016_nov,2016_dez,2017_jan,2017_fev,2017_mar,2017_abr,2017_mai,2017_jun,2017_jul,2017_ago,2017_set,2017_out,2017_nov,2017_dez,2018_jan,2018_fev,2018_mar,2018_abr,2018_mai,2018_jun,2018_jul,2018_ago,2018_set,2018_out,2018_nov,2018_dez,2019_jan,2019_fev,2019_mar,2019_abr,2019_mai,2019_jun,2019_jul,2019_ago,2019_set,2019_out,2019_nov,2019_dez,2020_jan,2020_fev,2020_mar,2020_abr,2020_mai,2020_jun,2020_jul,2020_ago,2020_set,2020_out,2020_nov,2020_dez,2021_jan,2021_fev,2021_mar,2021_abr,2021_mai,2021_jun,2021_jul,2021_ago,2021_set,2021_out,2021_nov,2021_dez,2022_jan,2022_fev,2022_mar,2022_abr,2022_mai,2022_jun,2022_jul,2022_ago,2022_set,2022_out,2022_nov,2022_dez,2023_jan,2023_fev,2023_mar,2023_abr,2023_mai,2023_jun,2023_jul,2023_ago,2023_set,2023_out,2023_nov,2023_dez,2024_jan,2024_fev,2024_mar,2024_abr,2024_mai,2024_jun,2024_jul,2024_ago,2024_set,2024_out,2024_nov,2024_dez,2025_jan,2025_fev,2025_mar,2025_abr,2025_mai,2025_jun,2025_jul,2025_ago,2025_set,2025_out,2025_nov,2025_dez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produção / Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendas Internas / Domestic Sales (*),1905.8190000000002,1791.6190000000001,2062.8650000000002,2074.205,2193.013,2123.3329999999996,2095.949,2226.363,2111.765,2140.9469999999997,1940.644,1720.766,1842.849,1873.26,1985.5239999999997,1879.424,1962.5870000000002,1628.668,1848.836,1720.005,1867.21,1912.825,1667.745,1519.386,1677.2500000000002,1565.4309999999998,1933.6860000000001,1549.627,1523.1850000000002,1476.7889999999998,1432.848,1575.806,1488.039,1453.2150000000001,1371.9560000000001,1125.269,1246.131,1292.172,1496.566,1403.563,1390.6039999999998,1508.923,1415.103,1505.2640000000001,1504.012,1409.714,1385.566,1270.348,1264.586,1271.493,1519.005,1232.5269999999998,1432.133,1518.771,1456.869,1577.998,1572.888,1496.794,1469.0799999999997,1435.252,1472.82,1465.818,1635.628,1543.079,1185.649,1817.595,1675.67,1758.747,1708.31,1649.072,1587.955,1419.431,1443.115,1519.6789999999999,1665.496,1516.2820000000002,1556.8480000000002,1578.172,1564.081,1637.925,1612.146,1653.774,1623.963,1427.462,1546.72,1567.1200000000001,1511.75,991.46,1216.707,1571.4470000000001,1761.767,1777.3870000000002,1887.468,1941.8880000000001,1848.7060000000001,1839.565,1938.4180000000001,1883.565,2074.47,1926.9519999999998,2105.8830000000003,2080.256,1899.06,1871.964,1818.833,1677.172,1615.964,1410.371,1485.6380000000001,1563.503,1861.4399999999998,1751.33,1778.6399999999999,1767.435,1741.955,1824.69,1827.849,1703.31,1641.088,1379.2820000000002,1588.215,1469.5359999999998,1822.478,1584.433,1703.964,1639.4319999999998,1613.771,1716.394,1657.803,1650.9160000000002,1626.346,1463.505,1617.7759999999998,1579.8429999999998,1698.2569999999998,1739.4089999999999,1722.294,1841.4689999999998,1911.0100000000002,1959.33,1904.3239999999998,1940.6689999999996,1811.99,1552.897,1659.0330000000001,1666.694,1832.7069999999999,1677.18,1776.8600000000001,1865.689,1856.0720000000001,1825.9400000000003,1889.552,1814.1889999999999,1748.372,1592.2959999999998
Laminados / Rolled Products,1852.8310000000001,1754.21,2006.2250000000004,2010.304,2129.468,2079.9809999999998,2043.6450000000002,2182.214,2054.0409999999997,2085.0969999999998,1895.001,1686.46,1816.143,1842.567,1944.9139999999998,1847.75,1922.9850000000001,1600.819,1813.531,1691.625,1825.645,1865.536,1633.743,1494.297,1651.8690000000001,1542.8899999999999,1898.632,1517.759,1492.4270000000001,1449.8139999999999,1413.675,1556.963,1459.21,1426.217,1337.143,1104.998,1223.693,1265.917,1461.471,1368.6100000000001,1359.4769999999999,1471.127,1374.105,1463.836,1454.176,1372.437,1345.973,1245.149,1241.754,1246.291,1488.3980000000001,1205.869,1393.272,1497.36,1426.965,1540.424,1533.451,1458.124,1426.8379999999997,1405.959,1430.7559999999999,1424.562,1591.5459999999998,1507.704,1168.877,1791.594,1641.567,1715.4740000000002,1648.2559999999999,1612.312,1548.364,1386.8,1404.886,1491.503,1640.893,1486.786,1526.246,1540.0430000000001,1538.126,1615.588,1592.627,1639.5549999999998,1604.529,1409.594,1525.173,1538.104,1484.279,975.364,1195.5,1545.209,1730.304,1750.227,1865.326,1905.911,1810.853,1802.0030000000002,1916.393,1858.179,2040.223,1899.8249999999998,2075.851,2048.828,1859.7069999999999,1834.35,1792.135,1649.709,1588.364,1386.3870000000002,1466.806,1538.993,1826.6589999999999,1723.358,1744.812,1721.858,1722.855,1801.726,1801.607,1674.7069999999999,1609.357,1351.036,1556.762,1440.964,1803.116,1566.185,1665.995,1606.8029999999999,1584.694,1692.402,1635.226,1630.6080000000002,1606.218,1438.623,1591.2889999999998,1544.312,1651.899,1712.713,1698.0140000000001,1813.8449999999998,1878.5130000000001,1935.6129999999998,1873.964,1910.2149999999997,1784.412,1522.096,1635.451,1644.67,1809.484,1656.598,1761.855,1846.9270000000001,1844.4840000000002,1806.6460000000002,1871.149,1785.185,1712.3790000000001,1526.3449999999998
Planos / Flat Products,1088.1460000000002,1019.5310000000001,1141.4550000000002,1137.847,1228.2969999999998,1225.625,1147.7250000000001,1220.747,1183.966,1174.449,1082.22,1031.811,1044.835,1021.66,1106.6909999999998,1072.466,1079.7,894.131,1006.133,894.174,1000.5530000000001,1006.8980000000001,878.0930000000001,850.74,941.8420000000001,878.75,1070.924,821.8,797.745,773.056,721.249,832.615,778.47,774.995,753.575,641.952,678.578,711.0709999999999,833.0110000000001,727.64,754.8489999999999,815.221,781.198,845.085,859.481,837.564,812.7570000000001,744.842,738.831,708.367,890.8580000000001,673.675,824.054,894.3349999999999,832.485,928.534,862.221,824.408,853.2489999999999,910.84,828.287,843.547,967.602,893.172,648.503,1076.421,977.3969999999999,1003.5740000000001,954.211,978.7239999999999,966.094,892.8499999999999,781.6410000000001,890.0,1000.136,869.649,902.256,933.434,877.856,935.818,913.579,956.189,929.722,848.7810000000001,900.561,895.2,881.16,499.961,611.912,825.812,916.575,967.263,1097.182,1094.98,1040.575,1082.852,1140.177,1083.554,1218.463,1091.329,1207.759,1184.134,1031.455,1025.221,1028.027,926.917,893.154,800.687,830.942,896.167,1035.647,956.185,968.63,985.924,972.403,1042.971,1051.066,990.944,926.177,839.128,930.252,830.613,1001.848,913.171,962.699,915.963,916.548,960.544,952.561,952.613,937.863,880.184,963.0219999999999,901.5609999999999,963.59,996.393,991.306,1064.0629999999999,1077.2250000000001,1111.441,1127.9,1116.8229999999999,1047.185,945.7729999999999,972.302,964.907,1073.383,951.609,1015.4269999999999,1091.613,1037.4370000000001,1045.074,1076.8449999999998,1035.642,1028.909,960.81
Longos / Long Products,764.685,734.679,864.7700000000001,872.457,901.171,854.356,895.9200000000001,961.467,870.0749999999999,910.6479999999999,812.781,654.649,771.308,820.907,838.223,775.284,843.2850000000001,706.6880000000001,807.398,797.451,825.092,858.6379999999999,755.65,643.557,710.0269999999999,664.14,827.708,695.959,694.682,676.7579999999999,692.4259999999999,724.348,680.74,651.222,583.568,463.046,545.115,554.846,628.4599999999999,640.97,604.6279999999999,655.906,592.9069999999999,618.751,594.695,534.873,533.216,500.30699999999996,502.923,537.924,597.54,532.194,569.2180000000001,603.025,594.4799999999999,611.89,671.23,633.716,573.5889999999999,495.11899999999997,602.4689999999999,581.015,623.944,614.5319999999999,520.374,715.173,664.1700000000001,711.9,694.045,633.5880000000001,582.27,493.95,623.245,601.5029999999999,640.757,617.1370000000001,623.99,606.609,660.27,679.77,679.048,683.366,674.807,560.813,624.612,642.904,603.119,475.403,583.588,719.397,813.729,782.964,768.144,810.931,770.278,719.151,776.216,774.625,821.76,808.496,868.092,864.694,828.252,809.129,764.108,722.792,695.21,585.7,635.864,642.826,791.012,767.173,776.182,735.934,750.452,758.755,750.541,683.763,683.18,511.908,626.51,610.351,801.268,653.014,703.296,690.84,668.146,731.858,682.665,677.995,668.355,558.439,628.2669999999999,642.751,688.309,716.3199999999999,706.708,749.782,801.288,824.1719999999999,746.064,793.3919999999999,737.2270000000001,576.323,663.149,679.7629999999999,736.101,704.9889999999999,746.428,755.314,807.047,761.572,794.304,749.543,683.47,565.535
"Semiacabados P/ Vendas /
Semifinished Products for Sale",52.988,37.409,56.64,63.900999999999996,63.545,43.352000000000004,52.304,44.149,57.724000000000004,55.849999999999994,45.643,34.306,26.706000000000003,30.692999999999998,40.61,31.674,39.602,27.849,35.305,28.38,41.565,47.289,34.002,25.089,25.381,22.541,35.054,31.868000000000002,30.758000000000003,26.975,19.173000000000002,18.843,28.829,26.998,34.813,20.271,22.438000000000002,26.255000000000003,35.095,34.953,31.127000000000002,37.796,40.998,41.428,49.836,37.277,39.593,25.199,22.832,25.201999999999998,30.607,26.658,38.861,21.411,29.904,37.574,39.437,38.67,42.242000000000004,29.293000000000003,42.064,41.256,44.082,35.375,16.772,26.000999999999998,34.103,43.272999999999996,60.054,36.760000000000005,39.591,32.631,38.229,28.176,24.603,29.496000000000002,30.601999999999997,38.129000000000005,25.955,22.337,19.519,14.219000000000001,19.434,17.868000000000002,21.547,29.016,27.471,16.096,21.207,26.238,31.463,27.159999999999997,22.142,35.977000000000004,37.853,37.562,22.025,25.386000000000003,34.247,27.127,30.032,31.428,39.353,37.614,26.698,27.463,27.6,23.983999999999998,18.832,24.509999999999998,34.781000000000006,27.972,33.828,45.577,19.1,22.964,26.241999999999997,28.603,31.731,28.246000000000002,31.453000000000003,28.572,19.362000000000002,18.247999999999998,37.968999999999994,32.629,29.076999999999998,23.992,22.576999999999998,20.308,20.128,24.881999999999998,26.487000000000002,35.531,46.358000000000004,26.695999999999998,24.28,27.624000000000002,32.497,23.717,30.36,30.454,27.578000000000003,30.801000000000002,23.582,22.024,23.223,20.582,15.004999999999999,18.762,11.588000000000001,19.294,18.403,29.004,35.993,65.951
Placas / Slabs,31.043,19.015,28.417,38.753,23.967,15.375,21.042,20.405,26.662,27.578,22.1,18.803,17.652,20.467,24.727,21.411,25.566,13.313,17.185,16.171,26.77,32.839,20.012,14.428,14.973,13.084,22.756,17.259,21.934,19.073,15.771,12.17,20.265,19.245,27.632,17.388,14.929,15.724,16.905,16.841,14.056,18.373,19.182,19.395,19.551,9.402,6.832,8.457,12.337,13.119,12.78,6.634,9.623,7.662,13.776,15.92,15.105,16.154,11.686,7.78,7.723,5.687,8.982,6.762,3.468,10.312,11.74,17.299,16.842,10.884,16.808,10.07,8.497,13.447,11.581,13.88,14.272,20.719,14.361,11.118,8.897,6.066,11.737,7.391,10.614,12.366,15.863,8.379,12.203,17.623,10.342,9.213,7.375,11.839,13.547,11.1,8.503,9.444,14.507,14.206,11.171,9.107,16.324,13.934,11.749,13.863,11.34,5.436,7.078,11.33,18.76,9.713,13.533,21.263,7.583,10.754,12.747,13.886,19.593,16.552,22.411,15.921,5.891,4.401,16.141,21.583,19.868,11.957,12.338,10.361,11.479,11.984,15.522,21.71,29.334,14.313,9.329,12.211,10.716,8.166,10.405,13.113,10.028,18.19,13.035,7.978,10.041,7.252,7.306,9.585,2.954,11.31,10.727,16.181,27.07,60.479
"Blocos e Tarugos / Ingots, Blooms and Billets",21.945,18.394,28.223,25.148,39.578,27.977,31.262,23.744,31.062,28.272,23.543,15.503,9.054,10.226,15.883,10.263,14.036,14.536,18.12,12.209,14.795,14.45,13.99,10.661,10.408,9.457,12.298,14.609,8.824,7.902,3.402,6.673,8.564,7.753,7.181,2.883,7.509,10.531,18.19,18.112,17.071,19.423,21.816,22.033,30.285,27.875,32.761,16.742,10.495,12.083,17.827,20.024,29.238,13.749,16.128,21.654,24.332,22.516,30.556,21.513,34.341,35.569,35.1,28.613,13.304,15.689,22.363,25.974,43.212,25.876,22.783,22.561,29.732,14.729,13.022,15.616,16.33,17.41,11.594,11.219,10.622,8.153,7.697,10.477,10.933,16.65,11.608,7.717,9.004,8.615,21.121,17.947,14.767,24.138,24.306,26.462,13.522,15.942,19.74,12.921,18.861,22.321,23.029,23.68,14.949,13.6,16.26,18.548,11.754,13.18,16.021,18.259,20.295,24.314,11.517,12.21,13.495,14.717,12.138,11.694,9.042,12.651,13.471,13.847,21.828,11.046,9.209,12.035,10.239,9.947,8.649,12.898,10.965,13.821,17.024,12.383,14.951,15.413,21.781,15.551,19.955,17.341,17.55,12.611,10.547,14.046,13.182,13.33,7.699,9.177,8.634,7.984,7.676,12.823,8.923,5.472
Vendas Externas / Foreign Market (**),717.366,628.682,748.1990000000001,596.758,491.64699999999993,554.775,443.421,590.543,663.2719999999999,543.213,600.0039999999999,758.04,557.823,548.9369999999999,640.774,605.473,522.687,946.2589999999999,711.606,834.771,1210.6,843.309,946.7090000000001,1236.257,777.575,807.768,919.181,753.26,1075.299,1400.961,1157.875,1305.597,1596.406,815.854,1109.7730000000001,1632.3919999999998,832.9649999999999,892.188,1216.425,888.0060000000001,1217.086,1103.175,963.053,1026.91,1157.016,1052.01,1159.755,1527.016,1030.124,1125.821,1148.8319999999999,1165.89,1238.863,1221.147,1151.5,1188.687,1445.252,1363.4470000000001,1270.646,1402.5389999999998,1199.355,934.1270000000001,1228.267,1063.113,1251.1950000000002,1051.28,1217.952,1121.432,1176.047,1172.708,1157.145,1544.443,1117.343,936.576,1026.194,1026.8449999999998,1021.1959999999999,1241.5500000000002,864.672,1013.0659999999999,1018.0459999999999,928.722,1024.359,1174.968,787.3530000000001,914.328,986.266,733.8990000000001,966.713,1002.8340000000001,888.635,841.0840000000001,627.787,791.171,660.048,920.5350000000001,560.509,657.043,918.678,646.381,934.7760000000001,957.2779999999999,648.954,932.3439999999999,928.9090000000001,984.227,1086.933,1440.24,1214.958,922.517,1217.504,1022.925,873.489,1192.667,620.0749999999999,945.3040000000001,820.99,876.056,732.408,913.414,891.473,1064.326,937.614,938.076,1057.8049999999998,1043.766,896.338,892.413,913.126,1002.137,960.359,993.953,913.34,889.9259999999999,871.451,810.4259999999999,857.8689999999999,851.54,1069.238,1059.8200000000002,895.163,796.884,947.864,877.949,780.9460000000001,756.838,876.172,651.165,751.56,1051.587,758.8679999999999,861.521,1023.9090000000001,858.919,1101.266,1196.017
Laminados / Rolled Products,248.626,264.274,257.783,194.73399999999998,172.323,255.27499999999998,141.38299999999998,172.692,190.70999999999998,147.677,195.928,332.949,203.309,164.44099999999997,203.554,164.406,182.091,295.375,198.3,265.909,401.18899999999996,301.03000000000003,372.45,487.967,267.735,261.556,372.163,291.283,368.3,500.466,422.58599999999996,495.57099999999997,522.81,344.166,414.297,501.53200000000004,244.819,339.55600000000004,434.599,309.046,372.68399999999997,439.557,407.63,338.913,467.783,313.28499999999997,437.932,543.894,302.685,366.112,359.547,390.002,420.709,445.01300000000003,402.98199999999997,507.962,513.162,448.063,534.3009999999999,496.92099999999994,370.592,284.16200000000003,431.87800000000004,325.626,417.35,335.225,410.474,321.79,378.174,267.93100000000004,496.63,478.55899999999997,332.06100000000004,256.25600000000003,424.091,307.927,363.535,388.788,225.19,328.188,364.56399999999996,384.351,247.84500000000003,248.425,212.87,233.198,318.678,213.074,239.72299999999998,294.007,187.868,183.65800000000002,228.678,172.296,176.131,200.642,124.904,140.636,155.462,113.558,158.868,183.515,132.207,242.053,260.35,341.1,399.164,424.056,373.301,375.368,322.523,369.597,299.181,368.339,223.201,326.599,248.317,142.14,117.125,272.295,151.911,207.80200000000002,342.171,221.68200000000002,154.851,206.221,139.787,165.438,148.748,196.801,161.874,213.84699999999998,131.317,229.213,168.556,163.457,138.363,146.6,201.635,187.894,140.997,129.16899999999998,141.03699999999998,181.367,120.531,274.155,172.20499999999996,101.77200000000009,100.98000000000002,181.11900000000006,153.17099999999996,133.48499999999999,229.31300000000005,162.50900000000001,247.20800000000006,259.95699999999994
Planos / Flat Products,178.471,159.736,178.049,98.464,87.111,159.878,68.841,70.028,79.065,64.469,108.985,223.571,109.857,73.082,109.212,56.836,89.792,183.435,123.623,159.054,313.818,226.354,274.642,354.319,191.913,182.861,258.922,229.307,246.77,392.487,309.126,387.157,346.115,257.49,332.415,365.331,179.57,242.026,284.75,198.036,221.495,227.071,242.637,198.169,321.096,175.115,302.327,366.585,216.922,223.764,211.995,239.562,288.486,292.42,245.611,320.292,324.409,279.082,335.625,298.155,238.659,145.613,229.787,195.186,276.623,183.353,255.516,150.062,232.919,125.815,334.136,280.132,156.984,112.956,245.759,162.523,226.116,185.785,66.706,174.589,216.926,252.901,158.997,120.441,147.927,135.181,198.777,129.048,109.749,178.054,117.153,95.121,111.997,92.981,65.705,75.552,56.711,79.576,62.592,55.218,83.343,94.408,61.667,156.917,175.599,237.608,265.059,292.292,247.225,253.968,147.232,220.202,160.974,235.724,132.714,211.722,135.787,69.276,46.935,158.937,79.415,118.033,210.714,88.972,33.385,94.172,53.009,76.82,67.248,96.082,70.869,132.88,69.349,127.241,69.528,63.091,60.686,49.791,112.313,84.225,34.815,31.887,60.583,55.769,73.58,185.15099999999995,50.073999999999955,34.43400000000008,32.249000000000024,80.49800000000005,55.08299999999997,54.64999999999998,113.65700000000004,89.81600000000003,152.68500000000006,106.62299999999993
Longos / Long Products,70.155,104.538,79.734,96.27,85.212,95.397,72.542,102.664,111.645,83.208,86.943,109.378,93.452,91.359,94.342,107.57,92.299,111.94,74.677,106.855,87.371,74.676,97.808,133.648,75.822,78.695,113.241,61.976,121.53,107.979,113.46,108.414,176.695,86.676,81.882,136.201,65.249,97.53,149.849,111.01,151.189,212.486,164.993,140.744,146.687,138.17,135.605,177.309,85.763,142.348,147.552,150.44,132.223,152.593,157.371,187.67,188.753,168.981,198.676,198.766,131.933,138.549,202.091,130.44,140.727,151.872,154.958,171.728,145.255,142.116,162.494,198.427,175.077,143.3,178.332,145.404,137.419,203.003,158.484,153.599,147.638,131.45,88.848,127.984,64.943,98.017,119.901,84.026,129.974,115.953,70.715,88.537,116.681,79.315,110.426,125.09,68.193,61.06,92.87,58.34,75.525,89.107,70.54,85.136,84.751,103.492,134.105,131.764,126.076,121.4,175.291,149.395,138.207,132.615,90.487,114.877,112.53,72.864,70.19,113.358,72.496,89.769,131.457,132.71,121.466,112.049,86.778,88.618,81.5,100.719,91.005,80.967,61.968,101.972,99.028,100.366,77.677,96.809,89.322,103.669,106.182,97.282,80.454,125.598,46.95100000000001,89.004,122.131,67.33800000000001,68.731,100.62100000000001,98.088,78.83500000000001,115.656,72.693,94.523,153.334
"Semiacabados P/ Vendas /
Semifinished Products for Sale",468.74,364.408,490.416,402.024,319.32399999999996,299.5,302.038,417.851,472.562,395.536,404.07599999999996,425.091,354.514,384.496,437.21999999999997,441.067,340.596,650.8839999999999,513.306,568.862,809.4110000000001,542.279,574.259,748.29,509.84,546.212,547.018,461.977,706.999,900.495,735.289,810.026,1073.596,471.688,695.4760000000001,1130.86,588.146,552.632,781.826,578.96,844.402,663.6179999999999,555.423,687.9970000000001,689.2330000000001,738.725,721.823,983.122,727.439,759.709,789.285,775.888,818.154,776.134,748.518,680.725,932.09,915.384,736.345,905.6179999999999,828.763,649.965,796.389,737.4870000000001,833.845,716.055,807.4780000000001,799.642,797.8729999999999,904.777,660.515,1065.884,785.282,680.32,602.103,718.9179999999999,657.661,852.7620000000001,639.482,684.8779999999999,653.482,544.371,776.514,926.543,574.4830000000001,681.13,667.588,520.825,726.99,708.827,700.7669999999999,657.426,399.109,618.875,483.917,719.893,435.605,516.407,763.216,532.823,775.908,773.7629999999999,516.747,690.2909999999999,668.5590000000001,643.127,687.769,1016.1840000000001,841.657,547.149,894.981,653.328,574.308,824.328,396.87399999999997,618.705,572.673,733.916,615.283,641.119,739.562,856.524,595.443,716.394,902.954,837.545,756.5509999999999,726.975,764.3779999999999,805.336,798.485,780.106,782.023,660.713,702.895,646.9689999999999,719.506,704.9399999999999,867.6030000000001,871.926,754.166,667.715,806.827,696.582,660.4150000000001,482.683,703.9670000000001,549.3929999999999,650.5799999999999,870.468,605.697,728.036,794.596,696.41,854.058,936.0600000000001
Placas / Slabs,426.772,354.891,435.865,348.159,292.198,274.882,283.569,385.887,434.833,375.146,361.155,349.81,312.986,364.787,407.76,425.666,340.596,628.959,508.374,560.011,788.552,534.264,539.008,709.102,487.654,495.992,508.681,407.32,659.604,746.299,640.86,676.56,976.978,448.17,658.94,880.66,500.082,441.465,659.116,505.077,763.566,582.385,466.846,625.71,630.057,644.884,612.164,784.621,682.228,664.655,654.279,657.918,773.452,661.242,688.453,586.791,845.07,794.511,680.408,780.117,706.142,575.625,717.602,661.738,767.067,668.673,752.229,739.988,714.088,850.389,605.788,961.671,720.361,616.744,514.425,668.935,613.684,777.412,551.866,607.473,549.598,495.284,721.504,757.66,562.413,669.967,618.209,498.432,717.258,627.725,649.299,621.927,361.914,571.616,483.21,694.043,433.273,513.623,760.327,526.11,761.671,746.304,501.301,657.137,614.873,577.031,639.308,896.527,813.642,489.132,774.76,581.449,525.686,727.496,391.57,583.067,539.231,682.018,588.82,618.715,690.869,835.706,559.867,662.453,829.485,802.76,705.861,702.52,662.752,789.359,697.831,719.901,739.626,600.324,628.164,613.406,694.847,666.463,803.355,784.513,680.964,642.038,780.265,628.002,637.585,422.841,670.07,544.507,616.992,831.981,559.442,647.232,710.257,649.535,797.404,830.206
"Blocos e Tarugos / Ingots, Blooms and Billets",41.968,9.517,54.551,53.865,27.126,24.618,18.469,31.964,37.729,20.39,42.921,75.281,41.528,19.709,29.46,15.401,0.0,21.925,4.932,8.851,20.859,8.015,35.251,39.188,22.186,50.22,38.337,54.657,47.395,154.196,94.429,133.466,96.618,23.518,36.536,250.2,88.064,111.167,122.71,73.883,80.836,81.233,88.577,62.287,59.176,93.841,109.659,198.501,45.211,95.054,135.006,117.97,44.702,114.892,60.065,93.934,87.02,120.873,55.937,125.501,122.621,74.34,78.787,75.749,66.778,47.382,55.249,59.654,83.785,54.388,54.727,104.213,64.921,63.576,87.678,49.983,43.977,75.35,87.616,77.405,103.884,49.087,55.01,168.883,12.07,11.163,49.379,22.393,9.732,81.102,51.468,35.499,37.195,47.259,0.707,25.85,2.332,2.784,2.889,6.713,14.237,27.459,15.446,33.154,53.686,66.096,48.461,119.657,28.015,58.017,120.221,71.879,48.622,96.832,5.304,35.638,33.442,51.898,26.463,22.404,48.693,20.818,35.576,53.941,73.469,34.785,50.69,24.455,101.626,15.977,100.654,60.205,42.397,60.389,74.731,33.563,24.659,38.477,64.248,87.413,73.202,25.677,26.562,68.58,22.83,59.842,33.897,4.886,33.588,38.487,46.255,80.804,84.339,46.875,56.654,105.854
Comércio Exterior / Foreign Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exportações / Exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminados / Rolled Products,330.997,316.401,209.06400000000002,292.66200000000003,253.85499999999996,223.07799999999997,200.957,191.225,198.698,188.574,188.66199999999998,223.01799999999997,349.39300000000003,199.447,182.09499999999997,225.73200000000003,155.177,266.95899999999995,256.974,244.18200000000002,339.53299999999996,414.802,385.943,465.60800000000006,291.113,245.215,449.80500000000006,225.092,424.608,435.466,540.457,503.368,558.346,506.83500000000004,419.8960000000001,409.06,356.79400000000004,417.015,508.298,410.42500000000007,325.29200000000003,461.14700000000005,382.672,394.95400000000006,526.127,289.98300000000006,400.934,512.228,422.847,350.747,449.092,342.118,466.39000000000004,481.845,375.91999999999996,545.525,494.71799999999996,540.846,539.051,584.567,487.874,398.236,476.681,378.998,300.663,404.35,266.654,501.65999999999997,215.96800000000002,407.35299999999995,490.321,421.216,543.306,372.80899999999997,253.74599999999998,347.916,410.318,379.10299999999995,267.276,273.971,371.43000000000006,423.0179999999999,293.536,225.013,252.651,213.47000000000003,431.73699999999997,259.913,253.74,245.142,213.747,144.466,232.37900000000002,203.83499999999998,146.856,225.34599999999998,161.465,146.27,389.356,187.695,158.08999999999997,200.249,210.51,227.79899999999998,220.821,332.377,308.853,388.193,445.677,372.86199999999997,450.27599999999995,283.152,386.20400000000006,350.37199999999996,327.52299999999997,347.744,311.736,148.707,201.952,278.726,177.948,268.084,447.36400000000003,247.10600000000005,162.264,225.601,212.055,218.45499999999998,164.69799999999998,182.88000000000002,205.116,258.29200000000003,180.012,185.812,252.44799999999998,210.568,233.999,140.041,247.32599999999996,152.042,172.875,188.92999999999998,160.688,191.11,166.45600000000002,276.38,170.047,158.698,163.788,103.208,249.713,147.392,186.575,234.861,218.899,221.231
Planos / Flat Products,211.669,207.61100000000002,124.32500000000002,184.042,148.10099999999997,112.148,104.51199999999999,77.79799999999999,110.37100000000001,67.408,84.19,129.903,207.50799999999998,105.119,82.76099999999998,116.861,59.31999999999999,171.69099999999997,134.856,132.37,244.90499999999997,319.62600000000003,292.14,336.77000000000004,179.18,169.639,317.19100000000003,134.217,304.857,302.07300000000004,375.274,386.851,426.997,360.61,326.33500000000004,297.784,238.03500000000003,325.178,352.29299999999995,267.58000000000004,184.72,262.69800000000004,198.489,223.473,385.029,156.10300000000004,244.645,335.07099999999997,286.4,222.769,291.36299999999994,201.605,302.345,327.073,221.004,352.736,322.11299999999994,358.928,344.165,387.75100000000003,286.0,262.162,307.882,191.755,181.929,240.004,143.12900000000002,362.579,97.504,252.974,334.37,259.171,314.52000000000004,219.006,129.17499999999998,183.167,236.933,226.89999999999998,96.153,111.68199999999999,236.69600000000003,261.19199999999995,196.869,104.718,131.876,113.89800000000001,308.532,168.193,124.971,136.346,106.775,68.197,116.944,97.517,49.226,89.93799999999999,45.998,58.403,259.371,98.77199999999999,90.24799999999999,89.28599999999999,102.507,157.719,125.569,241.12,188.666,247.81300000000002,332.623,239.474,281.477,143.408,248.89300000000003,188.243,209.00099999999998,208.805,174.902,68.879,112.776,162.451,78.146,186.48600000000002,292.96700000000004,148.15400000000002,49.672,85.209,90.39399999999999,130.434,61.688,95.63400000000001,101.56400000000001,150.931,86.285,129.76,104.294,141.115,107.49,48.151,156.54999999999998,76.888,56.978,68.27699999999999,45.756,80.74300000000001,69.299,197.158,59.223,58.055,48.503,41.983,103.761,60.541,107.647,144.519,102.877,128.257
