produto,ano_mes,volume,ano,mes
Vendas Externas / Foreign Market (**),2013_mar,748.1990000000001,2013,mar
Laminados / Rolled Products,2013_mar,257.783,2013,mar
Planos / Flat Products,2013_mar,178.049,2013,mar
Longos / Long Products,2013_mar,79.734,2013,mar
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mar,490.416,2013,mar
Placas / Slabs,2013_mar,435.865,2013,mar
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mar,54.551,2013,mar
Laminados / Rolled Products,2013_mar,209.06400000000002,2013,mar
Planos / Flat Products,2013_mar,124.32500000000002,2013,mar
Longos / Long Products,2013_mar,84.73899999999999,2013,mar
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mar,509.507,2013,mar
Placas / Slabs,2013_mar,471.095,2013,mar
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_mar,38.412,2013,mar
Total (Mil t / Thousand Tonnes),2013_mar,718.571,2013,mar
(US$ Milhões / US$ Millions),2013_mar,474.159,2013,mar
Laminados / Rolled Products,2013_mar,271.067,2013,mar
Planos / Flat Products,2013_mar,140.296,2013,mar
Longos / Long Products,2013_mar,130.771,2013,mar
"Semiacabados P/ Vendas /
Semifinished Products for Sale",2013_mar,0.288,2013,mar
Total (Mil t / Thousand Tonnes),2013_mar,271.355,2013,mar
(US$ Milhões / US$ Millions),2013_mar,322.156,2013,mar
Consumo Aparente / Apparent Consumption (***),2013_mar,2330.9139999999998,2013,mar
"Planos / Flat Products
(Inclui Placas / Included Slabs)",2013_mar,1311.942,2013,mar
"Longos / Long Products
(Inclui Blocos e Tarugos / Included Ingots, Blooms and Billets)",2013_mar,1018.972,2013,mar
Aço Bruto / Crude Steel,2013_abr,2913.622,2013,abr
Laminados / Rolled Products (*),2013_abr,2211.587,2013,abr
Planos / Flat Products,2013_abr,1233.065,2013,abr
Longos / Long Products,2013_abr,978.522,2013,abr
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",2013_abr,459.709,2013,abr
Placas / Slabs,2013_abr,386.75,2013,abr
"Blocos e Tarugos / Ingots, Blooms and Billets",2013_abr,72.959,2013,abr
Ferro-Gusa / Pig Iron,2013_abr,2239.881,2013,abr
